SNI 2007;;
;;
Undergrupp (Officiell kodstruktur);Undergrupp;Benämning 
85.41;8541;Eftergymnasial utbildning vid annat än universitet och högskola
85.42;8542;Universitets- eller högskoleutbildning
85.51;8551;Sport- och fritidsutbildning
85.52;8552;Musik-, dans- och övrig kulturell utbildning
85.53;8553;Trafikskoleverksamhet
85.59;8559;Övrig utbildning
85.60;8560;Stödverksamhet för utbildningsväsendet
86.10;8610;Sluten sjukvård
86.21;8621;Allmänpraktiserande läkarverksamhet
86.22;8622;Specialistläkarverksamhet inom öppenvård
86.23;8623;Tandläkarverksamhet
86.90;8690;Annan hälso- och sjukvård
87.10;8710;Boende med sjuksköterskevård
87.20;8720;Boende med särskild service för personer med utvecklingsstörning, psykiska funktionshinder eller missbruksproblem
87.30;8730;Vård och omsorg i särskilda boendeformer för äldre och funktionshindrade personer
87.90;8790;Annan vård och omsorg med boende
88.10;8810;Öppna sociala insatser för äldre och funktionshindrade personer
88.91;8891;Dagbarnvård
88.99;8899;Övriga öppna sociala insatser
90.01;9001;Artistisk verksamhet
90.02;9002;Stödtjänster till artistisk verksamhet
90.03;9003;Litterärt och konstnärligt skapande
90.04;9004;Drift av teatrar, konserthus o.d.
91.01;9101;Biblioteks- och arkivverksamhet
91.02;9102;Museiverksamhet
91.03;9103;Vård av historiska minnesmärken och byggnader och liknande sevärdheter
91.04;9104;Drift av botaniska trädgårdar, djurparker och naturreservat
92.00;9200;Spel- och vadhållningsverksamhet
93.11;9311;Drift av sportanläggningar
93.12;9312;Sportklubbars och idrottsföreningars verksamhet
93.13;9313;Drift av gymanläggningar
93.19;9319;Annan sportverksamhet
93.21;9321;Nöjes- och temaparksverksamhet
93.29;9329;Övrig fritids- och nöjesverksamhet
94.11;9411;Intressebevakning inom bransch- och arbetsgivarorganisationer
94.12;9412;Intressebevakning inom yrkesorganisationer
94.20;9420;Intressebevakning inom arbetstagarorganisationer
94.91;9491;Verksamhet i religiösa samfund
94.92;9492;Verksamhet i politiska organisationer
94.99;9499;Verksamhet i andra intresseorganisationer
95.11;9511;Reparation av datorer och kringutrustning
95.12;9512;Reparation av kommunikationsutrustning
95.21;9521;Reparation av hemelektronik
95.22;9522;Reparation av hushållsapparater samt av utrustning för hem och trädgård
95.23;9523;Lagning av skodon och lädervaror
95.24;9524;Reparation av möbler och heminredning
95.25;9525;Reparation av ur och guldsmedsvaror
95.29;9529;Reparation av andra hushållsartiklar och personliga artiklar
96.01;9601;Tvätteriverksamhet
96.02;9602;Hår- och skönhetsvård
96.03;9603;Begravningsverksamhet
96.04;9604;Kroppsvård
96.09;9609;Övriga konsumenttjänster
97.00;9700;Förvärvsarbete i hushåll
98.10;9810;Hushållens produktion av diverse varor för eget bruk
98.20;9820;Hushållens produktion av diverse tjänster för eget bruk
99.00;9900;Verksamhet vid internationella organisationer, utländska ambassader o.d.
